locus,sgRNA_target,gene_name,Ala,Arg,Asn,Ctr,Cys,Gln,Glu,Gly,Leu,Phe,Thr,Val
ssl1426,rpl35,rpmI rpl35 ssl1426,-1.7176052103206474,-1.734658324751028,-1.8266765920645827,-1.9955687483074525,-2.9649981704681676,-2.7839695707727485,-2.2202534236955365,-2.019404283168972,-2.1054430159586714,-1.808985853914934,-1.9232932222873869,-2.3609747358086968
sml0006,rpl36,rpmJ rpl36 sml0006,-1.2158837201035824,-1.3815137818655756,-1.5015870015491724,-1.5054041173247976,-2.0567486577185363,-1.917276407023181,-1.4195166899224454,-1.2589872957057804,-1.8298032691304,-1.9370716990791124,-1.6777476079801872,-1.996820582859094
sll1800,rpl4,rplD rpl4 sll1800,-1.0139719773524976,-0.6775595316135807,-1.098235544955056,-0.5583960247590553,-0.9512055416722355,-1.1935005113948796,-0.6994345646252632,-0.9344033825520276,-1.1119017123898154,-1.3610355145454622,-1.0326573409652777,-1.2766050139148066
sll1808,rpl5,rplE rpl5 sll1808,-1.0520828612255115,-1.188248697255086,-1.3296283173717647,-2.0636980710577473,-1.0168848468208576,-1.8007965347675874,-1.467299688851507,-1.5162703365108288,-1.011290820393346,-1.4941022785477711,-1.375692892871755,-2.003020668136112
sll1810,rpl6,rplF rpl6 sll1810,-1.1250923066342582,-0.5660058785757606,-1.0167554323941403,-1.6219046490246884,-1.1523640282454835,-1.9996325838044464,-1.762415479628162,-1.0659317458309823,-0.8945083855516128,-0.6170045380994991,-1.2926808397204137,-2.3446848589994507
sll1244,rpl9,rplI rpl9 sll1244,-1.3879821407845876,-0.7916023801734978,0.6457372146710139,-0.6855419756354344,-0.6351225701473171,-0.6058735045213978,-0.42155197921630194,-0.9330260067964392,-1.4035559530728403,-0.985793067424331,-0.33949168883368036,-0.6269659996270927
sll1818,rpoA,rpoA sll1818,-0.7173442823946098,-1.189669715341702,-0.7767863804929498,-0.9262492748984861,-0.8421604755352587,-1.2848941845384945,-1.1346828620220113,-0.7230487058288759,-0.5850453124984752,-1.1113104904503766,-0.8708041053320497,-1.4313443750849029
sll1787,rpoB,rpoB sll1787,-0.6296884236994607,-1.098124465974883,-0.8591407844097737,-0.6422610774427437,-0.9007332416562847,-0.8092864742775718,-0.9386453495934732,-0.8216402961795676,-0.7038262763535166,-0.7927513345209837,-0.8627542831861986,-0.8076371487787043
slr1265,rpoC1,rpoC1 slr1265,-2.6187884025904964,-2.704913661529745,-2.3367888476900314,-2.3670360381689783,-2.6541373628325196,-2.770991682581015,-2.2076600803618347,-3.138448082215717,-2.73586669279185,-2.9687643505545074,-2.330775314221061,-3.1204759326281377
sll1789,rpoC2,rpoC2 sll1789,-1.2073958475028852,-1.6446907232067849,-1.205670678373089,-1.0035632549986317,-1.5098463476263382,-1.4775510901467548,-1.209350653271546,-1.5708606966752727,-1.0742904495289134,-1.3362998091902907,-1.238657077859962,-1.4964174478472547
sll2012,rpoD,rpoD,-0.4051312101753793,-0.109535971368909,-0.06893518387845465,-0.4094931699384585,-0.19809969287800613,-0.22796685015422039,-0.10468837907259033,-0.35590964515950824,-0.6670275486785878,-0.22092543195320652,-0.18565467344775685,-0.20386039444619336
sll1689,rpoD2,rpoD,-1.9018953180646465,-0.30581932825334174,-0.5719963725806694,-1.2045386081767753,-1.1302862110636562,-1.3334465253927468,-0.6313220944093193,-1.299470117240639,-2.0987459673697786,-1.4525304651623796,-0.510155352535711,-0.9181997442207189
sll0306,rpoD3,rpoD,-0.1353267641277337,-0.20598977357484982,-0.5368852993467188,-0.2916238197458256,-0.47436399888848196,0.3346929171885645,-0.49751153502133694,0.0034684501257452732,0.11201200697403836,-0.26829738966822453,-0.02141880487699688,-0.10713183866110425
sll0184,rpoD4,sigC sll0184,0.17754558370791737,0.33379660327630467,-0.1220268865824162,0.1362538248431909,0.3482973278100647,0.23327803701723768,0.34449960911319627,0.2323714633437829,0.17804872535060007,0.6820024096791966,0.2681675035438298,0.2545688108010999
slr0653,rpoDI,sigA rpoD rpoD1 slr0653,-0.07528827813256653,-0.9194642645178543,-0.3152087324275576,-0.5579349528903835,-0.49381056385408767,-0.30982113133047123,-0.8229190147951945,-0.028889162922559566,0.26851211275022824,1.4690600053353478,-0.9120911097228569,-0.9107571430279533
slr1545,rpoE,rpoE,-0.5560537802194999,-1.8390590795475696,-1.4506476486005118,-1.740717858763276,-1.34912403766843,0.18306611876288853,-2.022060475586928,-1.730296760030907,-0.671260255523688,-2.7831481806753526,-2.2282740379883177,-0.7536796576503231
sll0856,rpoE2,rpoE,0.016799029372955146,0.18177664758844558,0.18578907488613408,0.2001331286709683,0.14867158198395644,0.06474862034045926,0.1679146738959894,0.13996940846162959,0.02380231892849166,-0.29814183107458936,0.12085800093870722,0.10580962916518923
slr1564,rpoF,rpoF,-0.08724502882164684,-0.24923768041061126,0.401591087725092,0.0511061336124247,-0.20420709675122242,0.14168594865138115,0.0846894368361226,-0.15935172914219928,-0.10895474246778164,-0.20480700251957318,-0.15758861425509463,0.21083775952996808
slr1984,rps1_2,rps1b slr1984,-0.8169285174509195,-0.6806654912485844,-0.21066938430626397,-0.47864171311494186,-0.11701025666645166,-0.4872513943336437,-0.28519991775563713,-0.11296586405604422,-0.8505585234702003,-0.38391067677203367,0.2191217130418521,-0.3332206399159898
slr1356,rps1,rps1A slr1356,-1.8424666382942876,-2.072172371624791,-1.8160029018415367,-1.0502328469940543,-2.7501264333476807,-1.7689231722041312,-1.3150689852484165,-2.018568186856047,-1.791148717558047,-1.494049351281826,-1.0705822582047602,-1.888653846551973
sll1101,rps10,rpsJ rps10 sll1101,-0.2444556906905675,-0.502885968584645,-0.3290297089096892,-0.40660109571853437,-0.3231265040018097,-1.0531142389915888,-0.7248783873317002,-0.4234798316501405,-0.44675536020951234,-1.81237432979375,-0.1841476805362357,-0.8091183446926652
sll1817,rps11,rpsK rps11 sll1817,-3.0561631074136373,-2.433966167254248,-2.7559403528891817,-3.1114529158408675,-2.1731636676662913,-4.298835994795299,-3.126158317986166,-2.888255940922398,-2.8462352270197453,-2.4459404299038963,-2.392567722380991,-4.216873790896444
sll1096,rps12,rpsL rps12 sll1096,-0.8025896337702305,-0.9373521839565827,-0.8326615709528475,-1.0873042085490896,-0.9625556431937432,-1.7482552003764482,-1.0535907192666436,-0.8554588867592373,-1.1922208374704921,-0.7432169023296216,-0.9852683371230406,-1.6305917522495692
sll1816,rps13,rpsM rps13 sll1816,-1.6373951429096891,-1.908485837466138,-1.9576545439082536,-1.5111857340555452,-1.8201030123666726,-2.0171907309903534,-1.557570948887356,-1.5316151359221628,-1.7369341281586659,-2.5745602916692136,-1.466061358772652,-1.9293548779910643
slr0628,rps14,rpsN rps14 slr0628,-0.8868802306456062,-0.9161047704632582,-1.1521057927344285,-1.2816162772738204,-1.0643916696089315,-2.025907502811247,-0.39318187275751937,-1.3173049215161947,-1.2638229617343966,-2.063885845067742,-1.3684004372292322,-1.875758518500086
ssl1784,rps15,rpsO rps15 ssl1784,-0.35324284751975493,-0.44338547792617083,-0.44986642280069233,-0.6369173184472319,-0.2687302582118713,-1.4068693637647662,-0.48248542999775174,-0.43229479762776635,-0.3544354243982766,-1.8338883886148802,-0.18583579271914713,-1.6184633831431097
ssr0482,rps16,rpsP rps16 ssr0482,-0.5673183320597402,-1.9145414388841837,-1.3528172912464247,-0.8655565970771579,-0.9158106623930439,-1.7439116597964135,-1.5930515070894273,-0.8557662163321074,-0.5604403735110007,-0.9776368145542476,-1.2209591126167445,-1.5521687688330463
ssl3437,rps17,rpsQ rps17 ssl3437,-1.1199657299877854,-0.9105848580944079,-0.38042860058175304,-0.7698997868828876,-0.7505685264516541,-2.0285331935795394,-1.17485274848506,-0.5998639522867901,-0.9072730211876971,-1.5335107086491153,-0.6573685988074409,-1.9315927016638812
ssr1399,rps18,rpsR rps18 ssr1399,-2.58659750571943,-3.129192997664422,-2.5992191421138466,-2.6589489733533975,-2.374217003226302,-3.246761878304456,-2.8650303405250788,-2.342439711329007,-2.2043051026754483,-2.90502454680018,-2.22007014649436,-2.951268272342074
ssl3432,rps19,rpsS rps19 ssl3432,-1.2090306060971718,-1.897572658015385,-1.1587252592566648,-1.5643008488644277,-1.5371244394071202,-2.1882775071948455,-1.9266535569979077,-1.4910021444488932,-1.6630544025136489,-1.532284385091037,-1.6818480011509787,-2.2768129986395733
sll1260,rps2,rpsB rps2 sll1260,-0.863765546617828,0.16517029852408843,-0.40536598993412204,-1.202584997134101,-0.6652418209412612,-1.356434898282652,-0.681678106561933,-1.3975905161778401,-0.5659489952326463,-1.0604933360829285,-0.16989861332073022,-1.3218712684344844
ssl2233,rps20,rpsT rps20 ssl2233,-1.986290990558946,-1.6593787302517493,-2.0831953269773162,-1.9776925713781268,-1.625004745988127,-2.000709461307629,-2.7453043468528358,-1.329260732618041,-1.6290527938531574,-1.1464658960358372,-3.601703195575096,-2.0626426717639434
ssl0601,rps21,rpsU rps21 ssl0601,-0.12071515994259004,-0.7993518719146573,-0.5714696171102034,-0.5873036682580042,0.023024205617394888,-0.2887753976082702,-0.79275610168435,-0.16182636988856178,-0.04251080982810591,0.5726269665694901,-0.8825200042480232,-0.4862535023206044
sll1804,rps3,rpsC rps3 sll1804,-0.42376551297421877,-1.311414017585166,-0.7123781855741527,-0.5369385273436418,-0.8132975956422193,-1.339064424460433,-1.003503974986425,-0.6271670605346943,-0.5911337188368451,-2.1917543185286417,-0.7993517695772708,-1.4266282571883613
ssr1736,rps32,rpmF rpl32 ssr1736,-1.3321341265150652,-1.4460184410137087,-1.0438597694028455,-1.243382859385396,-1.2181705380229773,-1.319397845003596,-1.3345287067855507,-1.487119046698164,-1.4206172898115932,-0.3630487710314112,-1.4570296061528805,-1.32030107523812
